Date,Age,Life Event,Life Event,Life Event
10/24/1949,0,"Born in Port Coquitlam, British Columbia","Born in Port Coquitlam, British Columbia","Born in Port Coquitlam, British Columbia"
,Childhood,Shunned by peers,Shunned by peers,Shunned by peers
,Childhood,No steady relationship with opposite sex,No steady relationship with opposite sex,No steady relationship with opposite sex
,Childhood,Terrible smell- fear of showers because mom always insisted on taking baths,Terrible smell- fear of showers because mom always insisted on taking baths,Terrible smell- fear of showers because mom always insisted on taking baths
,12,Had childhood pet- came home found that pet calf was slaughtered,Had childhood pet- came home found that pet calf was slaughtered,Had childhood pet- came home found that pet calf was slaughtered
,Childhood,"Younger brother David hit someone with father’s truck, returned home and told mother.  The mother rolled victim into a deep ditch.","Younger brother David hit someone with father’s truck, returned home and told mother.  The mother rolled victim into a deep ditch.","Younger brother David hit someone with father’s truck, returned home and told mother.  The mother rolled victim into a deep ditch."
,24,"Allegedly had a pen pal named Connie.  They were engaged, but relationship ended because neither would leave where they were to meet up.","Allegedly had a pen pal named Connie.  They were engaged, but relationship ended because neither would leave where they were to meet up.","Allegedly had a pen pal named Connie.  They were engaged, but relationship ended because neither would leave where they were to meet up."
,Adulthood,History of drug abuse: crack cocaine,History of drug abuse: crack cocaine,History of drug abuse: crack cocaine
,Adulthood,History of violence before series of killings- sexual assault and assault of a prostitute.,History of violence before series of killings- sexual assault and assault of a prostitute.,History of violence before series of killings- sexual assault and assault of a prostitute.
2/22/2002,53,Arrested for illegal weapons possession,Arrested for illegal weapons possession,Arrested for illegal weapons possession
12/11/2007,58,Convicted for 6 counts of 2nd degree murder.,Convicted for 6 counts of 2nd degree murder.,Convicted for 6 counts of 2nd degree murder.
