Date,Age,Life Event,PredictedLabel,PredictedTheme
0,Born to Dr. Herbert E. and Elizabeth Baumeister in Indiana.,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
1,Sister Barbara born.,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
7,Brother Brad born.,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
9,Brother Richard born.,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
14,"Started attending high school at North Central High. Was active in biology, geology, government, international relations, and chess clubs.",,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
Adolescence,Friend remembers that Herb used to 'ponder what it would be like to taste human urine'.,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
Adolescence,"Found a dead crow in the road, put it in his pocket and placed on teachers desk when she wasn’t looking.",,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
Adolescence,Father secretly took him to take psychological tests; limited records show diagnosed with schizophrenia with possibly more than one personality. No further documentation.,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
High School,"Not part of the 'in-crowd', usually alone, never dated.",,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
18,Graduated high school and was accepted into Indiana University. Met Juliana here. They were drawn to each other due to their strong conservative views.,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
20,Dropped out of college after freshman year. Worked at the Indianapolis Star as copy boy.,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
24,Married Juliana Saitor in United Methodist Church in Indiana.,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
24-25,Spent two months in psychiatric hospital (6 months after being married).,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
26-38,Worked at Bureau of Motor Vehicles. Odd behavior evident during this time. Sent Christmas cards with him and another man dressed in drag. Earned title of Program Director. Urinated on a letter addressed to the governor and was terminated.,,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
32,"First child, Marie, born.",,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
34,"Second child, Erich, born.",,7,"The archetypal theme represented here is ""The Search for Identity and Belonging"". The individuals in these life events are dealing with illegitimacy, death of parents, and feelings of rejection and isolation. Their actions and reactions depict a struggle to understand their place in the world and to form meaningful familial relationships."
