Date,Age,Life Event,
8/7/1560,0, "Elizabeth 'Erzebet' Bathory born to George and Anna Bathory. Spent her childhood in Ecsed Castle.",
1564,4-5, "Elizabeth had quite violent seizures where she would ultimate pass out. One uncle was known to be a devil-worshiper and other members of the family were mentally insane and perverted. Saw her two sisters raped and hanged. Saw their murderer put on hot iron throne and burned to death",
1571,11, "Elizabeth was forced to become engaged to Count Nadasdy",
1574,14, "Elizabeth gave birth to an illegitimate child fathered by a peasant boy",
5/8/1575,15,"Elizabeth marries Count Ferencz Nadasdy, who was 25 years old. They moved to castle Cachtice, which lies over the north-western part of Hungary. Count Ferencz spent a lot of time away from home fighting against the Turks",
1580-,20-40, "While Elizabeth’s husband was away she found herself spending more time admiring her beauty in the mirror. She took on young men as lovers and even ran off with one but the Count forgave her.",
1580-,20-40, "While home alone, Elizabeth would pay visits to her aunt, Countess Klara Bathory, who was an open bisexual. Elizabeth’s aunt was a nymphomaniac and enjoyed killing people in the Roman way. Her aunt killed two of her four husbands and eventually she was raped by an entire Turkish garrison before being stabbed to death.",
1580-,20-40, "Elizabeth became acquainted with the art of inflicting pain and suffering. Elizabeth started a fascination with Black Magic. A servant, Thorko, in Elizabeth’s castle started teaching her the ways of witchcraft and the same time encouraging her sadistic tendencies",
1580-,20-40,"One day Elizabeth wrote to her husband, 'Thorko has taught me a lovely new one. Catch a black hen and beat it to death with a white can. Keep the blood and smear a little of it on your enemy. If you get no chance to smear it on his body, obtain one of his garments and smear it'",
1580-,20-40,"While he was home, Count Ferencz would torture the servants and give Elizabeth lessons from what he learned at torturing war prisoners",
1/4/1604,44, "Ferencz Nadasdy dies apparently of poisoning but some believed it could be witchcraft",
12/30/1610,50, "A band of soldiers that were led by Elizabeth’s cousin raided Castled Csejthe",
1611,51, "Elizabeth’s trial takes place and a register of over 650 victims were found in her living quarters",
