Date,Age,Life Event
4/7/47,0,"Born to Dr. Herbert E. and Elizabeth Baumeister in Indiana.",
1948,1,"Sister Barbara born.",
1954,7,"Brother Brad born.",
1956,9,"Brother Richard born.",
1961,14,"Started attending high school at North Central High. Was active in biology, geology, government, international relations, and chess clubs.",
Adolescence,Adolescence,"Friend remembers that Herb used to 'ponder what it would be like to taste human urine'.",
Adolescence,Adolescence,"Found a dead crow in the road, put it in his pocket and placed on teachers desk when she wasn’t looking.",
Adolescence,Adolescence,"Father secretly took him to take psychological tests; limited records show diagnosed with schizophrenia with possibly more than one personality. No further documentation.",
High School,High School,"Not part of the 'in-crowd', usually alone, never dated."
1965,18,"Graduated high school and was accepted into Indiana University. Met Juliana here. They were drawn to each other due to their strong conservative views.",
1967,20,"Dropped out of college after freshman year. Worked at the Indianapolis Star as copy boy.",
11/1971,24,"Married Juliana Saitor in United Methodist Church in Indiana.",
1972,24-25,"Spent two months in psychiatric hospital (6 months after being married).",
1974-1985,26-38,"Worked at Bureau of Motor Vehicles. Odd behavior evident during this time. Sent Christmas cards with him and another man dressed in drag. Earned title of Program Director. Urinated on a letter addressed to the governor and was terminated.",
1979,32,"First child, Marie, born.",
1981,34,"Second child, Erich, born.",
1984,37,"Third child, Emily, born.",
1985,38,"Body of Eric Roetiger (WM, 17) found in Indiana.",
09/03/1985,38,"While drinking and driving he committed a hit and run.",
03/27/1986,39,"Warrant filed for his arrest. Charged with auto theft (Class A misdemeanor) and conspiracy to commit theft (Class D).",
1986,40,"Beat the conspiracy charge after one day bench trial.",
1986,40,"Herb’s father died.",
1988,41-42,"Borrowed $4,000 from mother and opened a SAV-A-LOT thrift store.",
08/12/1989,42,"Body of Steven Elliot (WM, 26)  found",
1990,43-44,"After making $50,000 in his first year of owning SAV-A-LOT, he opened his second store.",
08/11/1990,43,"Body of Clay Boatman (WM, 32) found",
11/91,44,"Moved to Westfield district.",
5/93,46,"Michael Riley (WM, 22) disappears.",
05/28/1993,46,"Johnny L. Bayer (WM, 20) reported missing.",
7/93,46,"Jeffery Jones (WM, 31) is reported missing.",
7/93,46,"Richard Hamilton (WM, 20) is reported missing.",
08/06/1993,46,"Alan Livingstone (WM, 27) reported missing.",
4/94,47,"Stephen Hale (WM, 26) reported missing.",
06/06/1994,47,"Alan Broussard (WM, 28) last seen leaving gay bar.",
07/22/1994,47,"Roger Alan Goodlet (WM, 34) disappears.",
1994,47-48,"SAV-A-LOT business began to plunge. Problems in marriage between Herb and Juliana. Herb started treating his employees like they were below him. Reports of him leaving the store and returning with alcohol on his breath.",
1994,47-48,"Arrested for drinking and driving in Rochester, Indiana. Sentenced to 3 days in jail and 1 year probation.",
1994,48,"Son Erich found a human skeleton in backyard. Herb assured his family that it was the remains of a cadaver from his father’s medical practice.",
08/29/1995,49,"Herb shows up at gay bar and Tony Harris gets his license plate number. Suspicion of Herb growing.",
11/95,49,"Police confront Juliana.",
11/95,49,"Herb tells his lawyer he is going to kill himself.",
01/04/1996,49,"Juliana files for divorce.",
6/96,50,"Closed SAV-A-LOT stores. Herb described as deeply troubled.",
06/23/1996,50,"Juliana tells attorney of bones found in backyard. Juliana admits that they had only consummated their marriage 6 times in 25 years of marriage.",
06/30/1996,50,"Herb became aware of his imminent arrest and drove to Canada.",
07/03/1996,50,"Herb left a note citing his failing marriage and business as the reason for his suicide and shot himself in the forehead with a .357 magnum."
