Date,Age,Life Event,
05-22-1951,0,"Kenneth Bianchi is born in Rochester, New York to a 17-year-old alcoholic prostitute who gives him up for adoption",
August 1951,3 months,"Kenneth is adopted by Frances Scioliono Bianchi and her husband who is a worker in the American Brake-Shoe Factory. Frances is Angelo Buono’s mother’s sister making him Angelo’s adoptive cousin. Named Kenneth Alessio Bianchi, he is their only child.",
1953,2,"By the time he could talk his mother knew he would be a compulsive liar. Throughout his childhood he idolizes Prince Valiant",
11-25-1954,3,"First taken to hospital by his mother with complaints of not being able to sleep and wetting the bed 5 times. Quote from doctor after first hospital visit – 'Mother needs help'",
1956,5,"Kenneth has frequent lapses into trance-like states of daydreaming. Frances consults a physician. These trance-like states of daydreaming are typified by his eyes rolling back in his head and inattentiveness. He is prone to temper tantrums and quick to anger as well. Doctor diagnoses him with petit mal syndrome and assures the Bianchi’s that there is nothing to worry about and that Kenneth will eventually grow out of these episodes. Episodes only last a moment or so",
12-18-1958,7,"Is checked by doctors for urinary dribbling",
1959,8,"Is treated briefly at a psychiatric center in Rochester for mental problems",
1960,9,"Begins having involuntary urination (Frances eventually makes him wear sanitary napkins).",
"November 28, 1960",9,"Is sent to DePaul Psychiatric Clinic because of 'involuntary urination, tics, absenteeism, and behavior problems.' Doctors perform a cystoscopy and retrograde pyelogram on Kenneth",
1962,11,"Kenneth is moved twice from schools because he could not get along with his teachers. The mother believed the teachers made him nervous. His IQ is measured at 116. Mother says he is lazy, inattentive, and angry. Teachers say he is working below his capacity",
July 1963,12,"Decides that he likes pulling younger girls pants down and does just that to a six year old girl",
1964,13,"Kenneth’s father, Mr. Bianchi, suddenly dies and Kenneth refuses to cry or show any emotion for his loss",
1966-1970,15-19,"Attends Gates-Chili high school (just outside Rochester). During this time he dates frequently, is clean-cut, and respective of elders. Joins a motorcycle club and gets a tattoo that reads, 'Satan’s Own M.C.'",
1969,18,"Proposes to a woman named Susan but is turned down",
1969,18,"Writes his girlfriend saying that he has been suspected in the Alphabet murders and that he had in fact killed a man. However, she thinks this is a sick joke and does not take the confession seriously.**(the exact date of this letter can not be confirmed, some sources list the time period as 1969 while others say it was 1972)",
1969,18,"Marries Brenda Beck for a few months. She is unable to meet his standards for a woman. He is with several women at a time throughout the marriage.",
1970,19,"Kenneth enrolls at Monroe Community College to become a police officer.",
1971,20,"Kenneth marries again but this time his wife leaves him after eight months.",
1972-1976,21-25,"Applies with a sheriff’s office and is turned down. Becomes a security guard but is often charged with theft by employers who suspect him.",
