Date,Age,Life Event
11/24/46,0,"Eleanor Louis Cowell gives birth to Theodore Robert Cowell in Burlington, VT; speculated that Eleanor’s father was also Ted’s father.",
1946ish,>1,"Ted and mother moved in with Ted grandparents. From this point until 1969 he believes that his mother is his sister and his grandparents are his parents.",
1949,3,"Caught standing beside his aunt’s bed grinning after he placed knives in bed. All knives pointed to her.",
1950,4,"Eleanor and Ted move to Tacoma, Washington; changes name from Cowell to Nelson for unknown reasons",
5/19/51,5,"Eleanor marries Johnnie Bundy and her son takes his step-father’s last name.",
1950’s,5-14,"There is no evidence that Johnnie ever abused Ted, but the two were not close, and Ted felt uncomfortable around him as he made attempts to bond with him.",
1959,13,"Ted is told he is illegitimate.",
"Late 1950’s, early 1960’s",11-17,"Ted is suspected of burglaries as a teenager, but no charges were ever pressed.",
Spring 1965,18,"Bundy graduates from Woodrow Wilson High School in Tacoma, Washington",
1965,18,"Upon his graduation, he admittedly began stealing regularly",
Fall 1965,18,"Enrolls at University of Puget Sound and attends the school until the next spring",
Fall 1966,19,"Enrolls at University of Washington. Attends until spring 1969.",
Spring 1967,20,"Meets Stephanie Brooks",
Fall 1968,21,"Brooks breaks off relationship with Bundy.",
Early 1969,21,"Visits his birthplace, and learns for certain that his mother is Eleanor and that he is illegitimate.",
Fall 1969,22,"Re-enters University of Washington and meets Liz Kendall, whom he begins dating. Liz would be his girlfriend throughout most of his murders. Returns to school with a sense of purpose, and becomes an honors student. Also becomes involved in local politics.",
Spring 1973,26,"Graduates from University of Washington",
1973,26,"During a business trip, he meets up with Stephanie Brooks. She is impressed with his change and they begin to see each other every so often.",
1/5/74,27,"Attacks Joni Lenz in her Seattle apartment. She survives.",
2/74,27,"Abruptly stops seeing Brooks. This was revenge for her dumping him. She never saw or heard from him again.",
2/1/74,27,"Abducts Lynda Ann Healy from her basement bedroom in Seattle.",
3/12/74,27,"Abducts Donna Manson from the campus of Evergreen College.",
4/17/74,27,"Abducts Susan Rancourt from the Central Washington St. campus.",
5/6/74,27,"Abducts Kathy Parks from the campus at Oregon St.",
6/1/74,27,"Abducts Brenda Ball from Burien, Washington",
6/11/74,27,"Abducts Georgeann Hawkins from an alley near her University of Washington sorority house.",
6/17/74,27,"Brenda Baker’s body is found in Millersylvania St. Park. It is unknown when she was abducted",
7/14/74,27,"In separate incidents, Janice Ott and Denise Naslund are abducted from Lake Sammammish St. Park.",
Fall 1974,27,"Enters the University of Utah Law School",
9/7/74,27,"Portions of the bodies of Ott, Naslund, and Hawkins are recovered two miles from Lake Sammammish St. Park",
10/2/74,27,"Abducts Nancy Wilcox.",
10/18/74,27,"Abducts Melissa Smith from Midvale, Utah.",
10/27/74,27,"Smith’s body is found in summit Park near Salt Lake City.",
10/31/74,27,"Abducts Laura Aimee from Lehi, Utah.",
11/8/74,27,"Fowls up an abduction attempt of Carol DeRonch, but abducts Debby Kent later that day in Bountiful, Utah.",
"Thanks-giving ‘74",28,"Aimee’s body is found.",
1/12/75,28,"Abucts Caryn Campbell from hotel in Aspen, Colorado",
2/18/75,25,"Campbell's body is found near the motel she disappeared from",
3/3/75,28,"The skulls of Healy, Ball, Parks, and Rancourt are found near Taylor Mountain in Washington.",
3/15/75,28,"Abducts Julie Cunningham from Vail, Colorado.",
4/6/75,28,"Abducts Melanie Cooley from her school in Nederland, Colorado",
4/23/75,28,"Cooley is found dead twenty miles from Nederland",
5/6/75,28,"Abducts Lynette Culver from her school playground in Pocatello, Idaho",
6/28/75,28,"Abducts Susan Curtis from the campus of BYU while attending a youth conference.",
7/1/75,28,"Abducts Shelley Robertson from Golden, Colorado.",
7/4/75,28,"Abducts Nancy Baird from Layton, Utah.",
8/16/75,28,"Is arrested for possession of burglary tools during a traffic stop in Salt Lake City. The incident eventually results in an arrest in the DeRonch attack.",
February 1976,28,"Abducts Debbie Smith in Utah.",
3/1/76,28,"Is found guilty of aggravated kidnapping in the DeRonch attack",
4/1/76,29,"Smith's body is found at Salt Lake International Airport",
6/30/76,29,"Is sentenced to one-to-fifteen years in prison.",
10/22/76,29,"FBI file case against Bundy in regards to the murders of Campbell and Smith (hairs found in his VW, and crowbar)",
