Date,Age,Life Event,
1792,0,"Born in 1792",
1811,19,"Follows older brother Constantine in to army",
1827,35,"Moves in with Nelly McDougal and Mickey Culzean",
November 1827,35,"Meets William Hare, moves in to his house with Nelly",
11-29-1827,35,"Hare’s lodger, Donald, dies; Burke and Hare sell deceased body to Dr. Knox to cover debt owed by Donald. Sold for ₤7 10 shillings",
February 1828,36,"Hare’s lodger, Joseph, falls ill; Burke and Hare smother him with a pillow, sell his body to Dr. Knox for ₤10.",
February 1828,36,"Another lodger, man from Cheshire, ill with jaundice; body sold to Dr. Knox for ₤10.",
02-11-1828,36,"Went out drinking with Abagail Simpson; she returned to Hare’s home because she was sick from drinking, Hare and Burke smother her. Sold to Dr. Knox for ₤10.",
04-09-1828,36,"Burke, while drinking, meets two prostitutes; buys them more alcohol, takes them back to his brother’s house. One prostitute, Mary Paterson, passes out on the dining table; Burke and Hare smother her. Body sold to Dr. Knox for ₤8.",
May 1828,36,"A woman lodger, at Hare’s home for one night, is very drunk; Burke smothers her and the body is sold to Dr. Knox for ₤10.",
May 1828,36,"Mary Haldane, a lodger, falls asleep in Hare’s stable; Burke and Hare suffocate her, sell her body to Dr. Knox.",
May 1828,36,"Effie comes to Hare’s house, Burke takes her to the stable and gets her drunk; Burke and Hare suffocate her, sell the body to Dr. Knox for ₤10.",
May 1828,36,"Burke takes a drunken woman, who is being escorted home by an officer, off the officer’s hands. The woman is killed, and her body is sold to Dr. Knox for ₤10.",
"“Midsummer, 1828”",36,"Old woman and her grandson from Glasgow lodge at Hare’s home; Burke and Hare smother them and sell their bodies to Dr. Knox for ₤8 each.",
June 1828,36,"Burke and Nelly move two streets away, in to an apartment with Burke’s cousin and her husband, the Broggans.",
June 1828,36,"Margaret Haldane, daughter of Mary Haldane, suffocated at the Broggan’s by Burke; body sold to Dr. Knox for ₤8.",
September 1828,36,"Mrs Ostler, a washer, comes to the Broggan’s. Burke and Hare get her drunk, then suffocate her. Body sold to Dr. Knox for ₤8.",
"Autumn, 1828",36,"Ann McDougal comes to visit Nelly at the Broggan’s; Hare and Burke get her drunk, then kill her. Body sold to Dr. Knox for ₤10.",
"October, 1828",36,"Jamie Wilson, who is mentally retarded, is invited to Hare’s home by Hare’s girlfriend, Maggie Laird; Wilson drinks some, and Burke and Hare suffocate him. They strip his body, taking a spoon and snuff box. Body sold to Dr. Knox for ₤10.",
10-31-1828,36,"Mrs. Docherty lured back to Burke’s; killed after the Halloween party by Burke and Hare.The struggle is heard by many of Burke’s neighbors.",
11-01-1828,36,"James Gray, neighbor of Burke, goes to the police after his wife discovers the corpse of Mrs. Docherty. Nelly and Burke are taken in for questioning.",
11-02-1828,36,"Police discover the corpse of Mrs. Docherty in Dr. Knox’s basement. The body was identified by neighbors of Burke; Burke, Hare, Nelly and Maggie are charged with murder.",
12-01-1828,36,"Hare and his wife Maggie offered immunity if Hare comes forward about Mrs. Docherty and any other of Burke’s murders. Burke was set for trial on two counts of murder.",
12-24-1828,36,"Trial begins",
12-25-1828,36,"Burke found guilty on majority vote (two members voted not guilty) and Nelly is found not guilty. Burke sentenced to hanging on January 28, 1829, and his body to then be dissected.",
01-28-1829,37,"Burke is hanged publicly. His body is then dissected publicly, in accordance with a law from 1752."
