Date,Age,Life Event,
4/08/1899,0,"Born in England, Halifax of Yorkshire.",
1907,8,"Fascinated by and felt pleasure in looking at his dead grandfather",
1909,10,"Became sexually attracted to his sisters",
1910,11,"Received a scholarship to Halifax secondary school",
1913,13,"Worked as an assistant cinema operator at the Gem Theater",
?,?,"First sexual act which he failed at",
1918,19,"Turned to prostitutes",
1916,17,"Enlisted into the Army with the Notts and Derby Regiment and posted to the 2nd/6thBattali",
1918,19,"Caught in mustard gas attack during WWI. Claimed to have lost sight and speech from the gas",
1919,20,"Left the Army",
1919,20,:Became clerk at wool mill and then worked as cinema operator",
1920,21,"Married Ethel Simpson",
1921,22,"Became postman",
1923,24,"Put on probation for obtaining money under false pretense",
1923,24,"Put on probation for charges of violence at post office",
9/1924,25,"Sentenced to two consecutive terms 3 and 6 months for larceny",
1929,30,"Separated from wife",
1929,30,"Served 3 months for assaulting a prostitute with a cricket bat",
1933,31,"Served 3 months for stealing a priest’s car",
1933,31,"Wrote to his wife and convinced her to rejoin him",
1938,39,"Moved into 10 Rillington Place (location where murders took place)",
9/1939,40,"Volunteered as a special constable policeman during time of WWII",
1943,44,"Had an affair with married women whose husband was overseas and husband returns catch and listing Christie as co-respondent for their divorce",
1943,44,"Killed Ruth Fuerst who was 21. She was reported missing on Aug. 24, 1943",
1944,45,"Killed Muriel Eady who was 32. She was reported missing October, 1944",
11/1949,50,"Killed neighbor Beryl Evans and baby Geraldine Evans",
12/1952,53,"Killed his wife Ethel",
1/1953,53,"Killed Rita Nelson who was 25",
2/1953,53,"Killed Kathleen Maloney who was 26",
4/1953,54,"Killed Hectorina Maclennan who was 26",
04/31/1953,54,"Arrested",
06/ 26/1953,54,"Convicted and sentenced to death",
07/15/1953,54,"Executed"
