Date,Age,Life Event,
"July 29, 1963",0,"Richard Marc Evonitz was born to Joe Evonitz and Tess Evonitz in Colombia, South Carolina at Providence Hospital.",
"July 1968",5,"His sister, Kristen Evonitz, was born.",
"March 1971",7,"His sister, Jennifer Evonitz, was born.",
"Dec. 24","child","Joe Evonitz chokes Kristen until she passes out on Christmas Eve for an unspecified reason.",
"Childhood","child","Jennifer Evonitz described life in the Evontiz house as, 'We lived in a prison, Joe was a very controlling person. He wanted us to make straight A’s. If we didn’t we were stupid. It was all about power and control. ‘You’ll get an A or you’ll get a beating.’ I see him as a sadistic man who got pleasure- I know I saw the pleasure in his face- out of making us miserable.'",
"May 1980",16,"Graduated high school at the age of 16.",
1983,20,"Broke into a neighbor’s house and stole coins. His mom defended him when questioned by the police and he was never charged.",
"Feb 1984",20,"Wrote a rubber check to K-Mart for $350.00",
"Feb. 1984",20,"After the rubber check incident his dad made him choose between living on the streets or joining the Armed Forces.",
"Feb. 1984",20,"Enrolled in the U.S. Navy.",
1985,21,"Parents divorce because of mother’s phone affair with inmate. Tess, his mother, marries Perry Deveaux. Deveaux was serving a life sentence for the brutal rape and murder of fifth grade school teacher, Kathleen Sanderlin of Sullivan’s Island, South Carolina. Tess changes her name to Lorraine Deveaux after they get married at Lieber Correctional Institute. Joe, his father re-marries a woman from northern Ethiopia by the name of Ezghaharin.",
"Aug. 1985",22,"Transferred to U.S.S. Koelch in Jacksonville, Florida.",
"Jan. 1986",22,"U.S.S. Koelch is called in to search for the wreckage of the space shuttle Challenger. Evonitz was the sonar technician on this epic search for the wreckage.",
"Sept. 1986",23,"Evonitz’s maternal grandmother Hester Ragin dies. He was reported to be closer to her than anyone else in the world.",
"Jan 3, 1987",23,"Marc is stationed at May Port Navy Station in Jacksonville, Florida on the U.S.S. Koelsch. During this time Marc pulled up beside Kelli Ballard, age 15, in his car and masturbated while she walked her 3 yr old sister down the street. The next day, Kelli and her mother spot Marc following them in a mall parking lot where they got his license plate number and called the police.",
"Feb. 9, 1987",23,"An arrest warrant was issued for Evonitz for a lewd/lascivious act in the presence of a minor child. Evonitz returned to port after a mission and was sent immediately to the base hospital for hepatitis. After spending five days in the base hospital he was released to the police.  Evonitz told the police that he 'had a problem masturbating in front of girls.'",
"June 30, 1987",23,"Evonitz admitted to being drunk during the incident and pleaded no contest to the conviction. Marc received a $252.50 fine and probation for three years. He was also required to have a mental health evaluation and treatment from a psychosexual counselor. This incident caused him to be demoted from Petty Officer 3rd class to Petty Officer 2nd class in the Navy.",
"March/April 1988",23,"The Navy placed him in an alcohol rehabilitation program where he was diagnosed with alcohol abuse.",
"August 11, 1988",25,"Married Bonnie Lou Gower when she was 16. He didn’t invite his dad to his wedding. She told investigators that their sex life was normal even though he would come home, blindfold her and rape her for 3 hours.",
"Nov. 1989",25,"Re-enlisted into Navy for 3 more years",
