Date,Age,Life Event,Life Event,Life Event
01/06/1969,0,Born,Born,Born
,,,,
1990,21,"Had violent fights with live-in girlfriend, Patricia Carter.","Had violent fights with live-in girlfriend, Patricia Carter.","Had violent fights with live-in girlfriend, Patricia Carter."
,,,,
1995,26,Patricia Carter kicks Vincent out of her apartment.,Patricia Carter kicks Vincent out of her apartment.,Patricia Carter kicks Vincent out of her apartment.
,,,,
08/26/1999,30,"Strangled Vivian Caraballo (HF, 26) and left her body in an elevator room.","Strangled Vivian Caraballo (HF, 26) and left her body in an elevator room.","Strangled Vivian Caraballo (HF, 26) and left her body in an elevator room."
,,,,
09/16/1999,30,"Strangled Joanne Feliciano (HF, 35) and left her body on a rooftop.","Strangled Joanne Feliciano (HF, 35) and left her body on a rooftop.","Strangled Joanne Feliciano (HF, 35) and left her body on a rooftop."
,,,,
09/25/1999,30,Strangled Rhonda Tucker (21) with a drawstring from her pants and left her body in her apartment.,Strangled Rhonda Tucker (21) with a drawstring from her pants and left her body in her apartment.,Strangled Rhonda Tucker (21) with a drawstring from her pants and left her body in her apartment.
,,,,
10/04/1999,30,Strangled Katrina Niles (34) with an electrical cord and left her body in her apartment,Strangled Katrina Niles (34) with an electrical cord and left her body in her apartment,Strangled Katrina Niles (34) with an electrical cord and left her body in her apartment
,,,,
02/21/2000,31,Strangled Laura Nusser (43) with an electrical cord and left her body in a burned-out utility room under a bridge.,Strangled Laura Nusser (43) with an electrical cord and left her body in a burned-out utility room under a bridge.,Strangled Laura Nusser (43) with an electrical cord and left her body in a burned-out utility room under a bridge.
,,,,
06/07/2000,31,Strangled Patricia Sullivan (49) with shoe laces and left her body in an empty lot.,Strangled Patricia Sullivan (49) with shoe laces and left her body in an empty lot.,Strangled Patricia Sullivan (49) with shoe laces and left her body in an empty lot.
,,,,
08/05/2000,31,DNA evidence leads to his arrest for the murders. Johnson admits to killing 5 women.,DNA evidence leads to his arrest for the murders. Johnson admits to killing 5 women.,DNA evidence leads to his arrest for the murders. Johnson admits to killing 5 women.
,,,,
04/06/2001,32,Sentenced to life in prison.,Sentenced to life in prison.,Sentenced to life in prison.
,,,,
